"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2024-047263","特願2022-152787","2022/09/26","2024/04/05","無人搬送車両、磁気軌道構造及び無人搬送車両の制御方法","株式会社アイシン","G05D1/02@W,G05D1/02@A,G05D1/223,G05D1/225,G05D1/228,G05D1/229,G05D1/24,G05D1/242,G05D1/244,G05D1/43,G05D1/60,G05D1/644,G05D1/646,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:30","特開2024-047263","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-047263/11/ja"
"特開2024-038773","特願2022-143041","2022/09/08","2024/03/21","無人搬送車","オークラ輸送機株式会社","B61B13/00@S,B61B13/00@A,B61D47/00@A","特開2024-038773","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-038773/11/ja"
"特許7448894","特願2022-212694","2022/12/28","2024/03/13","無人搬送車両システム、及び無人搬送車両","京セラドキュメントソリューションズ株式会社","B65G1/00,501@C","","","特許7448894","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7448894/15/ja"
"特開2024-026960","特願2022-129553","2022/08/16","2024/02/29","無人搬送車","村田機械株式会社","B65G1/00,501@C","特開2024-026960","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-026960/11/ja"
"特許7427144","特願2023-565883","2023/08/01","2024/02/02","無人搬送車走行システム","フィブイントラロジスティクス株式会社","G05D1/02@H,G01S17/931,G01S13/74,G01S17/86","","","特許7427144","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7427144/15/ja"
"特開2024-004660","特願2022-104379","2022/06/29","2024/01/17","無人搬送車両","株式会社豊田自動織機","B66F9/24@M,B66F9/24@E","特開2024-004660","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-004660/11/ja"
"特開2024-000974","特願2023-094059","2023/06/07","2024/01/09","無人搬送車両","ザウラー　テクノロジーズ　ゲー・エム・ベー・ハー　ウント　コー．　カー・ゲー","D01H9/18@G,B61B13/00@A","特開2024-000974","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-000974/11/ja"
"特開2023-167259","特願2022-078304","2022/05/11","2023/11/24","無人搬送車","トヨタ自動車株式会社","B61B13/00@A,B66F9/06@Y,B61D47/00@A","特開2023-167259","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-167259/11/ja"
"特開2023-165496","特願2022-076571","2022/05/06","2023/11/16","無人搬送車","株式会社豊田自動織機","G05D1/02@A,G05D1/229,G05D1/244,G05D1/43,G05D1/60,G05D1/646,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10","特開2023-165496","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-165496/11/ja"
"特開2023-160094","特願2022-070172","2022/04/21","2023/11/02","無人搬送車用制御装置、及び無人搬送車","株式会社豊田自動織機","G05B9/03,G05D1/02@Z,G05B9/02@E,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D1/80,G05D1/82,G05D1/86,G05D111:00,G05D111:63","特開2023-160094","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-160094/11/ja"
